constructorStandingsId;points;position;positionText;wins;constructorId;raceId
7833;109.0;1;1;6;1;332
7868;0.0;16;16;0;39;333
7867;0.0;12;12;0;46;333
7866;0.0;13;13;0;27;333
7865;3.0;8;8;0;32;333
7864;0.0;14;14;0;35;333
7863;0.0;15;15;0;45;333
7862;85.0;2;2;5;6;333
7861;7.0;6;6;0;41;333
7860;0.0;17;17;0;44;333
7859;2.0;9;9;0;21;333
7858;6.0;7;7;0;33;333
7857;0.0;11;11;0;18;333
7856;2.0;10;10;0;34;333
7855;43.0;4;4;0;22;333
7854;44.0;3;3;2;3;333
7853;15.0;5;5;0;25;333
7852;118.0;1;1;6;1;333
7887;0.0;14;14;0;39;334
7886;0.0;13;13;0;46;334
7885;0.0;11;11;0;27;334
7884;3.0;8;8;0;32;334
7883;0.0;15;15;0;35;334
7882;0.0;16;16;0;45;334
7881;100.0;2;2;6;6;334
7880;7.0;6;6;0;41;334
7879;0.0;17;17;0;44;334
7878;2.0;9;9;0;21;334
7877;7.0;7;7;0;33;334
7876;0.0;12;12;0;18;334
7875;2.0;10;10;0;34;334
7874;47.0;4;4;0;22;334
7873;49.0;3;3;2;3;334
7872;15.0;5;5;0;25;334
7871;118.0;1;1;6;1;334
7906;0.0;14;14;0;39;335
7905;0.0;13;13;0;46;335
7904;0.0;11;11;0;27;335
7903;3.0;8;8;0;32;335
7902;0.0;15;15;0;35;335
7901;0.0;16;16;0;45;335
7900;100.0;2;2;6;6;335
7899;7.0;7;7;0;41;335
7898;0.0;17;17;0;44;335
7897;2.0;9;9;0;21;335
7896;11.0;6;6;0;33;335
7895;0.0;12;12;0;18;335
7894;2.0;10;10;0;34;335
7893;62.0;3;3;1;22;335
7892;54.0;4;4;2;3;335
7891;16.0;5;5;0;25;335
7890;118.0;1;1;6;1;335
7925;0.0;14;14;0;39;336
7924;0.0;13;13;0;46;336
7923;0.0;11;11;0;27;336
7922;3.0;8;8;0;32;336
7921;0.0;15;15;0;35;336
7920;0.0;16;16;0;45;336
7919;110.0;2;2;6;6;336
7918;7.0;7;7;0;41;336
7917;0.0;17;17;0;44;336
7916;2.0;9;9;0;21;336
7915;11.0;6;6;0;33;336
7914;0.0;12;12;0;18;336
7913;2.0;10;10;0;34;336
7912;71.0;3;3;2;22;336
7911;57.0;4;4;2;3;336
7910;16.0;5;5;0;25;336
7909;121.0;1;1;6;1;336
4046;0.0;9;9;0;6;1
4044;0.0;7;7;0;2;1
4045;0.0;8;8;0;9;1
4043;0.0;6;6;0;10;1
4042;3.0;5;5;0;5;1
4041;3.0;4;4;0;3;1
4040;4.0;3;3;0;4;1
4039;11.0;2;2;0;7;1
4038;18.0;1;1;1;23;1
8541;0.0;10;10;0;6;2
8540;1.5;7;7;0;9;2
8539;4.0;3;3;0;2;2
8538;0.0;9;9;0;10;2
8537;3.0;6;6;0;5;2
8536;3.5;5;5;0;3;2
8535;4.0;4;4;0;4;2
8534;16.5;2;2;0;7;2
8533;1.0;8;8;0;1;2
8532;25.0;1;1;2;23;2
25734;14.0;11;E;0;1;36
25745;32.0;11;E;1;1;37
25744;23.0;1;1;1;6;37
25766;49.0;1;1;3;6;39
25777;56.0;1;1;3;6;40
25788;60.0;1;1;3;6;41
25799;71.0;1;1;3;6;42
25810;89.0;1;1;4;6;43
25821;103.0;1;1;5;6;44
25832;111.0;1;1;5;6;45
25843;119.0;1;1;5;6;46
25854;137.0;1;1;6;6;47
25865;143.0;1;1;6;6;48
25876;161.0;1;1;7;6;49
25887;170.0;1;1;7;6;50
25898;186.0;1;1;8;6;51
25909;204.0;1;1;9;6;52
7634;0.0;11;11;0;6;321
7635;0.0;12;12;0;45;321
7636;0.0;13;13;0;35;321
7637;0.0;14;14;0;32;321
7638;0.0;15;15;0;27;321
7639;0.0;16;16;0;46;321
7640;0.0;17;17;0;39;321
7641;0.0;18;18;0;47;321
7642;0.0;19;19;0;42;321
7656;0.0;14;14;0;32;322
7657;0.0;10;10;0;27;322
7658;0.0;17;17;0;46;322
7659;0.0;15;15;0;39;322
7660;0.0;19;19;0;47;322
7661;0.0;18;18;0;42;322
7677;0.0;12;12;0;46;323
7678;0.0;17;17;0;39;323
7679;0.0;19;19;0;47;323
7680;0.0;18;18;0;42;323
7696;0.0;11;11;0;46;324
7697;0.0;17;17;0;39;324
7698;0.0;19;19;0;47;324
7699;0.0;18;18;0;42;324
7716;0.0;17;17;0;39;325
