id;fastestLap;rank;fastestLapTime;fastestLapSpeed;resultId
448;22;7;1:23.483;200.735;449
449;37;11;1:24.003;199.492;450
450;18;17;1:25.207;196.673;451
451;6;20;1:26.238;194.322;452
452;7;6;1:23.475;200.754;453
453;6;19;1:26.094;194.647;454
454;4;21;1:26.323;194.131;455
456;44;1;1:15.284;159.715;457
457;28;2;1:15.372;159.528;458
458;47;4;1:16.183;157.830;459
459;54;5;1:16.254;157.683;460
460;39;3;1:16.006;158.198;461
461;30;12;1:17.041;156.072;462
462;40;7;1:16.658;156.852;463
463;62;6;1:16.592;156.987;464
464;73;10;1:16.867;156.426;465
465;69;13;1:17.080;155.993;466
466;40;9;1:16.802;156.558;467
467;70;11;1:16.991;156.174;468
468;72;14;1:17.100;155.953;469
469;75;8;1:16.786;156.591;470
470;53;18;1:17.495;155.158;471
471;47;17;1:17.231;155.688;472
472;74;15;1:17.183;155.785;473
473;63;16;1:17.223;155.704;474
474;70;20;1:17.689;154.770;475
475;34;19;1:17.678;154.792;476
476;17;21;1:18.998;152.206;477
478;37;2;1:16.494;205.239;479
479;19;3;1:16.696;204.699;480
480;67;11;1:17.947;201.413;481
481;67;13;1:18.368;200.331;482
482;21;5;1:16.861;204.259;483
483;47;12;1:18.035;201.186;484
484;46;1;1:16.367;205.580;485
485;38;10;1:17.910;201.509;486
486;47;9;1:17.618;202.267;487
487;42;6;1:17.156;203.478;488
488;36;15;1:18.780;199.284;489
489;62;14;1:18.543;199.885;490
490;12;17;1:19.092;198.497;491
491;9;19;1:19.375;197.790;492
492;21;18;1:19.254;198.092;493
493;19;16;1:18.981;198.776;494
494;19;8;1:17.529;202.499;495
495;20;20;1:19.452;197.598;496
496;6;21;1:20.092;196.019;497
498;22;4;1:16.849;204.291;499
499;22;7;1:17.411;202.808;500
500;20;2;1:13.222;206.101;501
501;21;3;1:13.257;206.003;502
502;50;4;1:13.380;205.658;503
503;49;1;1:13.117;206.397;504
504;67;7;1:13.998;203.940;505
505;30;10;1:14.016;203.891;506
506;57;8;1:14.004;203.924;507
507;53;6;1:13.862;204.316;508
508;67;9;1:14.009;203.910;509
509;41;13;1:14.486;202.604;510
510;55;12;1:14.066;203.753;511
511;42;14;1:14.703;202.015;512
512;66;16;1:15.092;200.969;513
513;49;15;1:14.858;201.597;514
514;65;18;1:15.902;198.824;515
515;34;11;1:14.066;203.753;516
516;64;17;1:15.426;200.079;517
517;20;5;1:13.414;205.562;518
518;8;19;1:16.680;196.807;519
522;20;2;1:16.207;208.374;523
523;42;1;1:16.099;208.670;524
524;39;4;1:16.587;207.340;525
525;44;10;1:17.153;205.819;526
526;70;7;1:16.875;206.563;527
527;70;5;1:16.703;207.027;528
528;36;3;1:16.495;207.590;529
529;70;6;1:16.770;206.846;530
530;69;9;1:17.011;206.199;531
531;68;8;1:16.966;206.319;532
532;68;12;1:17.220;205.641;533
533;69;14;1:17.249;205.563;534
534;68;15;1:17.447;205.038;535
535;69;13;1:17.240;205.587;536
536;69;11;1:17.206;205.678;537
537;39;16;1:17.796;204.118;538
538;27;18;1:18.091;203.347;539
539;51;17;1:17.934;203.757;540
540;27;19;1:18.955;201.122;541
544;17;1;1:20.638;229.514;545
545;35;3;1:21.117;228.159;546
546;11;4;1:21.675;226.600;547
547;14;6;1:22.105;225.413;548
548;17;2;1:20.858;228.890;549
549;17;5;1:21.991;225.727;550
550;11;9;1:22.552;224.193;551
551;13;7;1:22.136;225.328;552
552;28;13;1:23.387;221.948;553
553;29;16;1:23.581;221.433;554
554;40;12;1:23.118;222.666;555
555;49;11;1:22.896;223.262;556
556;57;10;1:22.693;223.810;557
557;42;14;1:23.413;221.879;558
558;56;21;1:24.390;219.310;559
559;46;17;1:23.628;221.308;560
560;17;18;1:23.708;221.097;561
561;26;20;1:24.144;219.951;562
562;19;15;1:23.570;221.462;563
563;12;8;1:22.510;224.307;564
564;16;22;1:25.015;217.698;565
565;6;19;1:23.767;220.941;566
566;35;2;1:33.231;198.783;567
567;34;1;1:32.853;199.592;568
568;29;8;1:34.449;196.220;569
569;33;5;1:34.235;196.665;570
570;48;6;1:34.316;196.496;571
571;49;7;1:34.354;196.417;572
572;49;9;1:34.451;196.216;573
573;48;11;1:34.603;195.900;574
574;29;3;1:33.401;198.421;575
575;48;12;1:34.893;195.302;576
576;37;14;1:35.632;193.792;577
577;46;13;1:35.282;194.504;578
578;29;10;1:34.496;196.122;579
579;32;4;1:33.904;197.359;580
580;18;16;1:37.401;190.273;581
581;18;15;1:36.195;192.658;582
582;13;17;1:42.783;180.309;583
583;2;18;2:20.041;132.338;584
584;2;19;2:25.798;127.112;585
585;2;20;2:50.950;108.410;586
586;2;21;3:01.900;101.884;587
587;2;22;3:22.300;91.610;588
588;13;2;1:20.171;196.724;589
589;70;1;1:20.047;197.029;590
590;16;5;1:20.582;195.721;591
591;49;3;1:20.324;196.349;592
592;40;4;1:20.419;196.117;593
593;69;9;1:20.961;194.804;594
594;68;6;1:20.672;195.502;595
595;69;8;1:20.935;194.867;596
596;63;7;1:20.915;194.915;597
597;48;12;1:21.253;194.104;598
598;67;14;1:21.553;193.390;599
599;66;15;1:21.695;193.054;600
600;37;11;1:20.981;194.756;601
601;49;13;1:21.264;194.078;602
602;66;10;1:20.980;194.759;603
603;65;16;1:21.915;192.536;604
604;67;19;1:22.263;191.721;605
605;34;17;1:22.004;192.327;606
606;35;20;1:22.410;191.379;607
607;39;18;1:22.166;191.948;608
608;25;21;1:22.906;190.234;609
609;4;22;1:26.741;181.824;610
610;18;2;1:27.922;218.566;611
611;57;1;1:27.295;220.136;612
612;39;4;1:28.070;218.199;613
613;39;5;1:28.319;217.583;614
614;17;3;1:27.963;218.464;615
615;20;7;1:28.603;216.886;616
616;37;6;1:28.536;217.050;617
617;11;11;1:28.918;216.118;618
618;56;9;1:28.793;216.422;619
619;54;13;1:29.068;215.754;620
620;55;8;1:28.737;216.559;621
621;55;12;1:28.924;216.103;622
622;34;10;1:28.873;216.227;623
623;38;17;1:29.658;214.334;624
624;56;16;1:29.563;214.561;625
625;39;14;1:29.459;214.811;626
626;35;15;1:29.513;214.681;627
627;56;18;1:29.916;213.719;628
628;39;19;1:29.983;213.560;629
629;21;22;1:30.951;211.287;630
630;52;20;1:30.617;212.066;631
631;4;21;1:30.808;211.620;632
632;15;1;1:22.871;251.653;633
633;17;2;1:22.936;251.456;634
634;21;3;1:23.370;250.147;635
635;19;4;1:23.681;249.217;636
636;22;5;1:23.908;248.543;637
637;52;8;1:24.472;246.884;638
638;53;7;1:24.226;247.605;639
639;32;9;1:24.532;246.708;640
640;46;13;1:24.824;245.859;641
641;52;12;1:24.767;246.024;642
642;49;10;1:24.622;246.446;643
643;32;14;1:24.849;245.787;644
644;42;16;1:25.000;245.350;645
645;46;17;1:25.116;245.016;646
646;49;15;1:24.951;245.492;647
647;49;11;1:24.669;246.309;648
648;45;19;1:25.373;244.278;649
649;47;18;1:25.313;244.450;650
650;30;20;1:25.377;244.267;651
651;34;21;1:25.478;243.978;652
652;8;6;1:23.971;248.357;653
654;12;2;1:48.095;233.261;655
655;34;1;1:48.036;233.388;656
656;44;3;1:48.182;233.073;657
657;41;4;1:48.215;233.002;658
658;33;5;1:48.663;232.042;659
659;29;9;1:49.769;229.704;660
660;12;11;1:50.049;229.119;661
661;21;8;1:49.600;230.058;662
662;32;6;1:48.894;231.549;663
663;43;10;1:50.022;229.175;664
664;43;7;1:48.990;231.345;665
665;40;13;1:50.730;227.710;666
666;43;12;1:50.678;227.817;667
667;29;15;1:50.902;227.357;668
668;32;14;1:50.886;227.390;669
669;43;19;1:51.391;226.359;670
670;30;20;1:51.648;225.838;671
671;22;16;1:51.141;226.868;672
672;18;18;1:51.270;226.605;673
673;24;17;1:51.156;226.837;674
674;4;21;1:52.724;223.682;675
676;27;1;1:28.193;186.259;677
677;34;9;1:29.655;183.222;678
678;29;8;1:29.619;183.295;679
679;56;11;1:30.086;182.345;680
680;33;12;1:30.387;181.738;681
681;32;7;1:29.588;183.359;682
682;32;4;1:29.021;184.527;683
683;54;18;1:31.891;178.763;684
684;35;13;1:30.653;181.205;685
685;57;15;1:31.060;180.395;686
686;58;19;1:31.951;178.647;687
687;33;20;1:32.130;178.300;688
688;55;21;1:32.414;177.752;689
689;28;6;1:29.084;184.396;690
690;54;16;1:31.507;179.514;691
691;33;14;1:30.865;180.782;692
692;27;17;1:31.803;178.935;693
693;27;10;1:29.926;182.670;694
694;31;5;1:29.057;184.452;695
695;30;3;1:28.940;184.695;696
696;25;2;1:28.511;185.590;697
697;19;22;2:05.636;130.749;698
698;52;3;1:38.285;199.660;699
699;54;2;1:37.991;200.259;700
700;56;1;1:37.454;201.362;701
701;52;13;1:39.890;196.452;702
702;39;5;1:38.913;198.392;703
703;53;11;1:39.654;196.917;704
704;55;7;1:39.325;197.569;705
705;55;10;1:39.640;196.945;706
706;52;8;1:39.331;197.557;707
707;55;9;1:39.371;197.478;708
708;39;4;1:38.900;198.418;709
709;54;12;1:39.743;196.741;710
710;55;14;1:39.911;196.410;711
711;54;15;1:40.126;195.989;712
712;55;16;1:40.516;195.228;713
713;54;6;1:39.233;197.752;714
714;52;17;1:40.764;194.748;715
715;32;18;1:40.926;194.435;716
716;22;19;1:43.131;190.278;717
717;25;20;1:44.062;188.576;718
718;22;21;1:47.603;182.370;719
719;9;22;1:51.765;175.579;720
720;66;1;1:12.445;214.126;721
721;71;3;1:12.584;213.716;722
722;59;6;1:13.150;212.062;723
723;56;7;1:13.159;212.036;724
724;61;4;1:12.686;213.416;725
725;53;10;1:13.452;211.190;726
726;58;2;1:12.506;213.946;727
727;68;8;1:13.361;211.452;728
728;22;13;1:14.195;209.076;729
729;69;5;1:13.116;212.161;730
730;65;9;1:13.368;211.432;731
731;39;19;1:14.914;207.069;732
732;56;11;1:13.643;210.643;733
733;64;14;1:14.329;208.699;734
734;13;20;1:15.202;206.276;735
735;32;17;1:14.742;207.545;736
736;31;18;1:14.891;207.133;737
737;18;16;1:14.423;208.435;738
738;20;12;1:14.039;209.516;739
739;13;15;1:14.398;208.505;740
740;2;21;1:50.404;140.505;741
741;2;22;2:02.680;126.446;742
742;21;3;1:32.534;210.551;743
743;38;2;1:32.523;210.576;744
744;29;8;1:32.864;209.803;745
745;39;5;1:32.729;210.109;746
746;21;7;1:32.771;210.013;747
747;25;4;1:32.660;210.265;748
748;42;1;1:32.408;210.838;749
749;40;10;1:33.212;209.020;750
750;28;6;1:32.739;210.086;751
751;26;11;1:33.376;208.653;752
752;26;12;1:33.480;208.421;753
753;26;14;1:33.772;207.772;754
754;45;9;1:33.108;209.253;755
755;25;16;1:34.112;207.021;756
756;14;15;1:33.840;207.621;757
757;24;18;1:34.852;205.406;758
758;41;19;1:35.940;203.076;759
759;17;20;1:37.104;200.642;760
760;11;21;1:38.302;198.197;761
761;20;13;1:33.694;207.945;762
762;15;17;1:34.320;206.564;763
764;16;2;1:35.294;209.402;765
765;45;1;1:34.803;210.487;766
766;35;4;1:35.604;208.723;767
767;39;3;1:35.566;208.806;768
768;51;8;1:35.954;207.962;769
769;44;5;1:35.647;208.629;770
770;43;9;1:36.002;207.858;771
771;34;6;1:35.686;208.544;772
772;52;11;1:36.380;207.042;773
773;54;10;1:36.188;207.456;774
774;40;16;1:37.387;204.902;775
775;34;18;1:38.198;203.209;776
776;39;19;1:39.510;200.530;777
777;14;20;1:40.199;199.151;778
778;41;7;1:35.751;208.403;779
779;25;14;1:37.313;205.057;780
780;18;21;1:42.833;194.050;781
781;14;13;1:36.867;206.002;782
782;12;12;1:36.771;206.206;783
783;4;17;1:38.078;203.458;784
784;6;15;1:37.366;204.946;785
786;49;2;1:26.189;221.499;787
787;57;1;1:26.045;221.869;788
788;45;10;1:27.810;217.410;789
789;49;7;1:27.700;217.683;790
790;53;5;1:27.561;218.028;791
791;56;13;1:28.321;216.152;792
792;32;6;1:27.690;217.707;793
793;32;12;1:28.250;216.326;794
794;26;14;1:28.367;216.039;795
795;17;8;1:27.799;217.437;796
796;53;15;1:29.238;213.931;797
797;54;17;1:30.574;210.775;798
798;49;18;1:33.737;203.663;799
799;45;4;1:27.464;218.270;800
800;31;16;1:29.687;212.860;801
801;25;11;1:27.988;216.970;802
802;27;3;1:27.180;218.981;803
803;19;9;1:27.800;217.435;804
